"천안종합휴양관광지","충청남도 천안시 동남구 성남면 종합휴양지로 200","중부권 최대의 온천관광지로 워터파크, 휴양콘도, 천안예술의 전당이 있음."
"태조산관광지","충청남도 천안시 동남구 태조산길 261","유량동 태조산 아래에 자리잡힌 넓은 공원으로 천안시민들의 문화ㆍ휴식 공간"
"빛가람호수공원전망대","전라남도 나주시 호수로 77","공원"
"광양 궁시장","","도지정무형문화재 제12호"
"매천황현생가","전라남도 광양시 봉강면 서석길 14-3","조선의 마지막 선비 우국지사 매천 황현선생 생가"
"해달별천문대","전라남도 광양시 봉강면 하조길 91-20","낮-태양, 밤-해·달 관찰, 천체사진 촬영"
"백운산자연휴양림","전라남도 광양시 옥룡면 백계로 33","교육장, 야영장, 수영장, 산책로"
"광양 옥룡사지","전라남도 광양시 옥룡면 추산리 산 35-1","국가지정문화재 사적 제207호"
"국사봉랜드","전라남도 광양시 옥곡면 대치로 433","숙박, 물놀이장, 야외공연장"
"기독교선교100주년기념관","전라남도 광양시 진상면 성지로 399","기독교역사관, 유품전시관"
"섬진강 망덕포구","전라남도 광양시 진월면 망덕길 171","550리 섬진강과 남해바다가 만나는곳, 윤동주시인 유고보존 정병욱 가옥"
"윤동주 유고 보존 정병욱 가옥","전라남도 광양시 진월면 망덕길 249","국가등록문화재 제341호"
"광양매화문화관","전라남도 광양시 다압면 지막1길 21","매화꽃, 매실가공식품, 홍쌍리 명인"
"느랭이골자연리조트","전라남도 광양시 토끼재길 119-32","편백숲 삼림욕장, 글램핑장, 별빛축제"
"구봉산전망대","전라남도 광양시 구봉산전망대길 155","해발 473m 구봉산, 9.4m 봉수대, 광양만야경"
"완주전통문화체험장","전라북도 완주군 고산면 대아저수로 416","고즈넉한 한옥의 숨결을 느끼며 뛰어난 자연경관 속에 아늑한 휴식을 즐기기에 안성맞춤인 공간"
"청소년전통문화체험관","전라북도 완주군 고산면 대아저수로 416","전통문화를 기반으로 한 청소년들의 문화공간, 체험공간, 지역 내 전해 내려오는 역사의 흔적과 문화를 소재로 한 교육체험 공간"
"놀토피아","전라북도 완주군 고산면 대아저수로 416","국내 최대규모(34종류)를 자랑하는 심신발달형 어린이 모험 놀이시설"
"오성한옥마을","전라북도 완주군 소양면 오도길 73","종남산과 위봉산이 병품처럼 둘러쌓고 있는 천혜의 자연경관에 한옥고택 등 전통한옥이 자리잡고 있는 곳"
"무궁화오토캠핑장","전라북도 완주군 고산면 고산휴양림로 89","문화체육관광부 국민여가캠핑장으로 조성된 공공야영장으로 52개 사이트와 캐러반 등 부대시설이 갖추어져 있는 곳"
"송광사&벚꽃길","전라북도 완주군 소양면 송광수만로 255-16","송광사는 종남산 아래에 자리한 사찰로 신라시대에 도의선사가 창건한 것으로 전해진다"
"문수산성","","1694년(숙종20)에 외적을 막고 강화도 방어를 위해 쌓은 산성으로 병인양요 때 프랑스근과 치열한 격전을 벌인 곳으로 유명하다  현재는 총길이 6km 중 성곽의 일부 979m를 보수하여 4km의 성곽이 남아있다."
"김포함상공원","경기도 김포시 대곶면 대명항1로 110-36","52년간 바다를 지켜오다 2006년 12월 퇴역한 상륙함(운봉함)을 활용하여 조성한 수도권 유일의 함상공원으로 다양한 전시품 감상 및 함상 체험활동을 할 수 있다."
"덕포진","경기도 김포시 대곶면 덕포진로103번길 90","초등학교에서 교편을 잡았던 부부 교사가 설립한 사립박물관으로 옛날 교과서 와 책걸상, 풍금을 사용한 음악수업이 진행되며 수집물이 고스란이 보존되어 있다."
"덕포진교육박물관","경기도 김포시 대곶면 덕포진로103번길 90","초등학교에서 교편을 잡았던 부부 교사가 설립한 사립박물관으로 옛날 교과서 와 책걸상, 풍금을 사용한 음악수업이 진행되며 수집물이 고스란이 보존되어 있다."
"남파고택","전라남도 나주시 금성길 13","중요민속자료"
"다도박물관","경기도 김포시 월곶면 애기봉로275번길 187-49","지상3층 규모로 다도전시장과 조각공원, 다도체험장, 연못, 정자, 투호장 등 부대시설과 잔디광장을 갖춘 복합예술 공간으로 자연을 벗삼아 다도 및 전통예절, 민속놀이 체험을 할 수있다."
"유당공원","전라남도 광양시 광양읍 백운로 14","1528년 광양현감 박세후 조성"
"서천무지개분수대","","음악분수 퍼포먼스 공연"
"장도전수관","전라남도 광양시 광양읍 매천로 771","장도 선비·부녀자 사용, 중요무형문화재 60호 장도장"
"도립미술관","전라남도 광양시 순광로 680-4","2017년 말 착공 예정"
"광양와인동굴","전라남도 광양시 광양읍 강정길 33","바닥 트릭아트, 세계 와인 전시, 와인 카페테리아, 오브젝트 맴핑, VR체험관 등"
