구)나주역	전라남도 나주시 죽림길 26	전라남도기념물
노안천주교회	전라남도 나주시 노안면 이슬촌길 108	등록문화재
나주시천연염색박물관	전라남도 나주시 다시면 백호로 379	박물관
나주목문화관	전라남도 나주시 금성관길 15	박물관
중흥골드스파&리조트	전라남도 나주시 다도면 나주호로 558-314	유원지
마이산도립공원 일원	전라북도 진안군 마령면 마이산남로 182	마이산은 암마이봉(686m)과 수마이봉(680m)으로 진안읍 단양리와 마령면 동촌리 경계면에 걸쳐있다. 신라시대 서다산(西多山), 고려시대 용출산(聳出山), 조선 초 속금산(束金山)에서 현재는 말의 귀를 닮았다는 의미의 마이산(馬耳山)으로 불리고 있다. 1979년 전라북도 도립공원으로 지정되었고 2003년 10월 31일에는 마이산 권역 160여 ㎢가 명승 제12호 국가지정문화재로 승격되어 진안군수가 위탁 관리한다.
용담호및주변시설	전라북도 진안군 안용로 793	댐으로 만들어진 인공호수로써 높이 70m, 길이 498m, 저수량이 8억1,500톤에 이르고 댐주위로 난 이설도로를 따라 여러가지 볼거리가 구비되어 있다.
운장산자연휴양림	전라북도 진안군 정천면 휴향림길 77	약7㎞에 달하는 운장산 계곡은 원시림과 옥류수가 연중 흐르고 순환임도와 연접하고 여러가지 기암바위들이 자연수목과 조화를 이룬다
데미샘자연휴양림	전라북도 진안군 백운면 데미샘1길 172	데미샘은 3개도 10개 시군에 걸쳐 218.6㎞를 흐르는 우리나라에서 4번째로 긴강인 섬진강의 발원지이다
진안고원치유의숲	전라북도 진안군 봉학로 171-22	전국 최초로 설립된 환경성질환 예방교육시설이다. 생활치료 공간으로 교육관과 생활관, 체험관, 유기농식당을 갖추고 있다. 방학과 주말은 물론 평일에도 아토피로 고통받는 어린이와 가족들이 함께행활하면저 치유할수 있다
가위박물관	전라북도 진안군 진안읍 마이산로 258	세계유일의 가위박물관, 진안가위박물관, 마이산북부에 위치하고 세계 희귀 가위 1,500여점을 소장
한국이슬람부산성원	부산광역시 금정구 금단로 113-13	부산의 유일한 한국이슬람 부산성원은 이슬람 신자들에게는 네트워킹 장이자 쉼터로, 지역민들에게는 이슬람 문화를 체험하고 강연을 접할 수 있는 장소로 자리 잡고 있다.
요산문학관	부산광역시 금정구 팔송로 60-6	일제강점기의 잔인했던 시절 속 궁핍한 현실을 작품에 담은 요산 김정한 선생의 문학 정신과 삶을 기리는 문학관은 요산 선생의 생가와 연접해 그의 숨결을 더욱 깊이 느낄 수 있다.
오륜대한국순교자박물관	부산광역시 금정구 오륜대로 106-1	한국 가톨릭 순교자들의 신념을 기억하기 위해 건립된 오륜대한국순교자박물관에는 한국 순교자들의 유물뿐만 아니라 역사적 의미가 있는 자료들도 함께 전시·보존하여 더욱 의미가 있다.
부산대젊음의거리	부산광역시 금정구 장전온천천로 51	청춘들의 꿈, 열정, 자유가 넘치는 부산대 젊음의 거리는 색다른 문화공연과 프리마켓 등 다양한 행사가 날마다 이어진다. 골목골목 위치한 상점에서 청춘의 열기를 느낄 수 있다.
금정산성마을	부산광역시 금정구 산성로 452	금정산성마을은 금정산 해발 400m의 분지에 아담히 자리잡은 산성마을로 금정산 능선이 병풍처럼 둘러싸고 있는 아름다운 자연환경을 갖추고 있어 휴일이면 이곳을 찾는 등산객들의 발길이 끊이지 않는다.
쌍근어촌체험마을	경상남도 거제시 남부면 남부해안로 1094	남부면의 왕조산 자락에 자리잡고 있으며，바닷가의 시원한 바람을 느낄 수 있는 전형적인 어촌마을이다.
씨라인	경상남도 거제시 덕포5길 32-3	덕포해수욕장의 맑고 푸른 바다 위를 ’한마리 새처럼 자유롭고 짜릿하게 활강하면서 즐기는 체험시설’을 의미한다.
오션어드벤처	경상남도 거제시 일운면 거제대로 2660	소노캄 거제 내에 위치한 종합 유원시설로 여름철 물놀이를 즐길 수 있다.
